Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
69,Male,White (non-hispanic),55904,45,Living alone,1,0,44,Four-year college,At least once a week,At least once a week,A few times a month,Less often,14,6,2,0,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
69,Female,White (non-hispanic),28734,68,"With spouse, significant other, and/or children",1,0,35,Master's or post-graduate professional degree,A few times a month,About once a month,Less often,Less often,17,5,2,0,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
68,Male,White (non-hispanic),98115,7,Living alone,5+,0,27,Some college/associate's degree,About once a month,About once a month,Less often,Less often,6,12,0,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
68,Female,White (non-hispanic),71118,1,Living alone,1,0,35,Some college/associate's degree,At least once a week,Less often,Less often,Less often,3,0,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree
68,Male,Hispanic,77020,36,"With spouse, significant other, and/or children",1,0.5,143,Some college/associate's degree,At least once a week,At least once a week,At least once a week,Less often,10,6,12,0,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
68,Male,Asian,2138,9,Living alone,5+,0,50,Master's or post-graduate professional degree,At least once a week,About once a month,About once a month,Less often,1,0,5,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
67,Male,"White (non-hispanic),Asian",78745,36,"With spouse, significant other, and/or children",1,0,86,Four-year college,About once a month,Less often,Less often,Less often,0,0,0,1,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
67,Female,White (non-hispanic),44035,19,"With spouse, significant other, and/or children",1,0,16,Some college/associate's degree,About once a month,Less often,Less often,Less often,1,0,1,0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
67,Female,White (non-hispanic),77042,38,"With spouse, significant other, and/or children",1,0.5,60,Some college/associate's degree,At least once a week,At least once a week,At least once a week,Daily,3,4,3,4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
67,Male,White (non-hispanic),32114,26,Living alone,5+,1,15,High school,About once a month,About once a month,At least once a week,Daily,0,2,4,6,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
67,Male,White (non-hispanic),80920,4,"With spouse, significant other, and/or children",1,0,0,Master's or post-graduate professional degree,Less often,About once a month,About once a month,Less often,0,4,0,0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
67,Male,Black or African American,29571,67,"With spouse, significant other, and/or children",1,0.5,40,High school,At least once a week,A few times a month,A few times a month,At least once a week,20,10,25,20,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
66,Female,White (non-hispanic),91387,41,"With spouse, significant other, and/or children",2,0,180,Master's or post-graduate professional degree,Less often,A few times a month,Less often,A few times a month,0,0,0,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
66,Female,Hispanic,49036,34,"With spouse, significant other, and/or children",1,0.5,24,Some college/associate's degree,About once a month,About once a month,Less often,About once a month,2,2,1,1,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
66,Female,Hispanic,92234,8,"With spouse, significant other, and/or children",1,0,111,Master's or post-graduate professional degree,At least once a week,A few times a month,At least once a week,Daily,2,10,5,2,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
66,Female,White (non-hispanic),53821,25,Living alone,1,0,15,High school,A few times a month,About once a month,A few times a month,Less often,3,1,2,0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
66,Female,Black or African American,27705,7,"With spouse, significant other, and/or children",1,0,79,Four-year college,Less often,At least once a week,Daily,Less often,0,10,5,0,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
66,Female,White (non-hispanic),33870,2,Living alone,5+,0,18,Some college/associate's degree,At least once a week,Daily,Daily,Less often,0,5,10,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
65,Female,White (non-hispanic),75024,30,"With spouse, significant other, and/or children",1,0,50,Four-year college,About once a month,Less often,Less often,Less often,1,0,0,0,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree
65,Male,White (non-hispanic),97034,12,"With spouse, significant other, and/or children",1,0,132,Four-year college,Less often,Daily,Daily,Less often,0,3,5,0,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
65,Female,White (non-hispanic),33903,4,Living alone,1,0.2,29,High school,At least once a week,At least once a week,At least once a week,Daily,1,10,5,6,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
65,Female,White (non-hispanic),33813,20,"With spouse, significant other, and/or children",1,0,71,Some college/associate's degree,A few times a month,A few times a month,About once a month,Daily,2,1,1,1,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
65,Female,White (non-hispanic),77021,15,Living alone,5+,0,39,Four-year college,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
65,Male,White (non-hispanic),36701,40,With other family,1,0,25,Four-year college,Less often,Less often,Less often,Less often,2,0,0,0,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
65,Female,White (non-hispanic),34482,1,"With spouse, significant other, and/or children",1,0,121,Master's or post-graduate professional degree,At least once a week,At least once a week,At least once a week,Less often,3,5,8,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
64,Female,White (non-hispanic),28562,5,Living alone,2,0,53,Four-year college,At least once a week,A few times a month,About once a month,Less often,4,2,1,0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
64,Female,White (non-hispanic),35242,3,Living alone,4,0,99,Four-year college,Less often,At least once a week,Daily,Less often,0,6,15,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
64,Female,"White (non-hispanic),Hispanic",73505,11,With other family,5+,0,106,Master's or post-graduate professional degree,Daily,A few times a month,At least once a week,Daily,2,1,1,0,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
64,Male,White (non-hispanic),33063,13,"With spouse, significant other, and/or children",5+,0.7,39,Four-year college,At least once a week,A few times a month,About once a month,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
64,Male,White (non-hispanic),97365,1,"With spouse, significant other, and/or children",5+,0,74,Some college/associate's degree,Less often,A few times a month,At least once a week,Less often,0,10,1,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
64,Female,White (non-hispanic),44875,36,"With spouse, significant other, and/or children",1,0,28,Four-year college,About once a month,A few times a month,Daily,Less often,3,0,8,0,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
64,Female,White (non-hispanic),44240,42,"With spouse, significant other, and/or children",1,0,80,Master's or post-graduate professional degree,Less often,A few times a month,A few times a month,Less often,1,12,12,0,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
64,Female,"White (non-hispanic),American Indian or Alaska Native",55901,22,"With spouse, significant other, and/or children",1,1.5,136,Some college/associate's degree,At least once a week,At least once a week,Daily,Daily,5,2,1,12,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
63,Female,White (non-hispanic),65775,2,Living alone,5+,0,23,Some college/associate's degree,A few times a month,At least once a week,A few times a month,Less often,0,6,4,0,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
63,Female,White (non-hispanic),55025,5,Living alone,5+,0,35,High school,At least once a week,Less often,A few times a month,Less often,2,0,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
63,Female,White (non-hispanic),28805,19,"With spouse, significant other, and/or children",1,0,50,Four-year college,Less often,About once a month,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree
63,Female,White (non-hispanic),89117,4,"With spouse, significant other, and/or children",5+,0,40,Some high school or less,Less often,At least once a week,At least once a week,Less often,0,6,2,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
