Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
38,Male,White (non-hispanic),45344,5,"With spouse, significant other, and/or children",1,0.6,108,Master's or post-graduate professional degree,A few times a month,At least once a week,At least once a week,At least once a week,4,2,6,1,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
38,Female,White (non-hispanic),17257,8,"With spouse, significant other, and/or children",3,0.4,36,High school,About once a month,A few times a month,Less often,Less often,0,1,0,0,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree
38,Female,White (non-hispanic),71929,11,"With spouse, significant other, and/or children",1,0.2,88,Master's or post-graduate professional degree,About once a month,About once a month,Less often,Daily,3,1,0,10,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
38,Female,Black or African American,60018,10,Living alone,5+,1,155,Some college/associate's degree,At least once a week,A few times a month,Less often,Daily,6,3,0,4,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
38,Female,White (non-hispanic),72801,20,"With spouse, significant other, and/or children",1,0.1,65,Some college/associate's degree,About once a month,At least once a week,About once a month,About once a month,0,2,1,2,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
38,Female,Black or African American,10002,38,Living alone,5+,0.5,33,Some college/associate's degree,At least once a week,At least once a week,At least once a week,At least once a week,4,1,4,3,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
38,Female,White (non-hispanic),91790,6,"With spouse, significant other, and/or children",1,0,32,Four-year college,About once a month,A few times a month,A few times a month,A few times a month,2,3,2,1,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
37,Male,White (non-hispanic),54165,15,"With spouse, significant other, and/or children",1,0.5,59,Some college/associate's degree,A few times a month,At least once a week,Less often,About once a month,6,30,8,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
37,Female,"White (non-hispanic),American Indian or Alaska Native",76086,20,With other family,1,0,60,Master's or post-graduate professional degree,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
37,Female,White (non-hispanic),22314,13,Living alone,5+,1.5,88,Master's or post-graduate professional degree,At least once a week,A few times a month,Less often,At least once a week,0,3,0,4,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
37,Female,White (non-hispanic),90802,12,Living alone,5+,0,51,Master's or post-graduate professional degree,Less often,A few times a month,Less often,About once a month,0,15,2,1,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
37,Male,White (non-hispanic),17110,15,"With spouse, significant other, and/or children",5+,0,150,Master's or post-graduate professional degree,At least once a week,At least once a week,A few times a month,A few times a month,10,10,10,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
37,Female,Asian,90039,4,Living alone,5+,0.7,66,Four-year college,Less often,About once a month,Less often,A few times a month,0,3,2,0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
37,Female,White (non-hispanic),27311,20,"With spouse, significant other, and/or children",1,0,46,Some college/associate's degree,At least once a week,At least once a week,Less often,Less often,3,2,2,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
37,Male,Other,95382,8,Other (please specify),1,1,32,Four-year college,At least once a week,A few times a month,At least once a week,At least once a week,30,20,10,40,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
37,Male,White (non-hispanic),28086,2,"With spouse, significant other, and/or children",1,0,47,Four-year college,A few times a month,At least once a week,Less often,Less often,2,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
37,Female,Asian,90501,3,Living alone,5+,0.4,93,Master's or post-graduate professional degree,About once a month,At least once a week,About once a month,At least once a week,0,2,1,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
37,Male,White (non-hispanic),12477,35,Living alone,1,0.4,41,Some college/associate's degree,A few times a month,A few times a month,About once a month,A few times a month,0,1,5,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
37,Female,White (non-hispanic),16509,4,"With spouse, significant other, and/or children",4,0.1,42,Four-year college,At least once a week,At least once a week,Less often,Daily,3,2,1,2,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
37,Female,White (non-hispanic),63028,3,"With spouse, significant other, and/or children",1,0,87,Four-year college,A few times a month,Less often,A few times a month,Less often,10,2,8,0,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
37,Female,White (non-hispanic),48158,34,"With spouse, significant other, and/or children",1,,39,Master's or post-graduate professional degree,At least once a week,At least once a week,At least once a week,Less often,2,1,1,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
37,Female,Black or African American,12589,5,Other (please specify),5+,0.1,102,High school,About once a month,A few times a month,Less often,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
37,Male,White (non-hispanic),62618,13,"With spouse, significant other, and/or children",1,0.5,87,High school,At least once a week,At least once a week,A few times a month,A few times a month,7,5,2,1,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
37,Male,White (non-hispanic),68510,19,"With spouse, significant other, and/or children",1,0.2,70,Some college/associate's degree,A few times a month,A few times a month,A few times a month,About once a month,4,20,5,7,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
37,Female,White (non-hispanic),61571,9,"With spouse, significant other, and/or children",1,0.1,108,Master's or post-graduate professional degree,A few times a month,Less often,Less often,Less often,3,0,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree
37,Female,White (non-hispanic),37931,13,"With spouse, significant other, and/or children",1,0,99,Some college/associate's degree,A few times a month,At least once a week,About once a month,Less often,1,17,2,0,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
37,Female,White (non-hispanic),6477,4,"With spouse, significant other, and/or children",1,0.1,104,Four-year college,A few times a month,A few times a month,A few times a month,A few times a month,5,10,5,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
37,Male,White (non-hispanic),32703,1,With roommates,1,0,14,Four-year college,Less often,Daily,Less often,Less often,1,2,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
37,Female,American Indian or Alaska Native,29229,2,"With spouse, significant other, and/or children",1,0,62,Some college/associate's degree,A few times a month,Less often,Less often,Less often,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
37,Female,Black or African American,29526,3,"With spouse, significant other, and/or children",1,0,35,Some college/associate's degree,At least once a week,A few times a month,Less often,Less often,10,5,0,0,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
37,Female,White (non-hispanic),68642,3,"With spouse, significant other, and/or children",1,1,143,Four-year college,At least once a week,At least once a week,Daily,Daily,3,3,10,5,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
37,Female,White (non-hispanic),47980,6,"With spouse, significant other, and/or children",1,,66,Some college/associate's degree,At least once a week,A few times a month,A few times a month,Less often,20,100,10,0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree
37,Female,White (non-hispanic),54115,3,"With spouse, significant other, and/or children",1,0.2,81,Four-year college,Less often,A few times a month,Less often,Less often,0,2,3,0,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
37,Male,White (non-hispanic),80247,2,Living alone,2,0.8,11,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,4,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
37,Female,Hispanic,78239,13,"With spouse, significant other, and/or children",1,,,High school,Daily,A few times a month,Less often,Less often,8,5,0,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
37,Female,White (non-hispanic),74019,10,"With spouse, significant other, and/or children",1,0.2,50,Four-year college,A few times a month,About once a month,Less often,Less often,4,1,0,2,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
37,Female,White (non-hispanic),45324,12,Living alone,4,0,71,Master's or post-graduate professional degree,Less often,At least once a week,A few times a month,A few times a month,0,10,2,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
37,Male,White (non-hispanic),57107,2,"With spouse, significant other, and/or children",1,0.1,82,Some college/associate's degree,A few times a month,About once a month,Less often,About once a month,8,2,1,3,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
36,Female,White (non-hispanic),50109,2,With other family,1,0,109,Four-year college,Less often,Less often,Less often,Less often,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
36,Female,White (non-hispanic),78259,25,"With spouse, significant other, and/or children",1,0.5,119,Four-year college,About once a month,A few times a month,Less often,Less often,0,3,0,0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
36,Female,White (non-hispanic),46074,9,"With spouse, significant other, and/or children",1,0.2,119,Four-year college,A few times a month,A few times a month,At least once a week,Daily,1,2,1,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
36,Male,White (non-hispanic),63048,4,"With spouse, significant other, and/or children",1,0.4,100,Master's or post-graduate professional degree,A few times a month,At least once a week,Daily,Daily,4,6,9,4,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree
36,Female,White (non-hispanic),40447,10,"With spouse, significant other, and/or children",1,,39,High school,Daily,At least once a week,A few times a month,Less often,0,1,3,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
36,Female,Other,11024,20,With other family,1,1,150,Four-year college,Less often,At least once a week,Less often,At least once a week,25,30,3,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
36,Female,White (non-hispanic),32966,36,"With spouse, significant other, and/or children",1,0.6,38,High school,Less often,A few times a month,At least once a week,Less often,0,2,2,0,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree
36,Female,White (non-hispanic),48476,7,"With spouse, significant other, and/or children",1,0.5,85,Four-year college,Less often,At least once a week,About once a month,About once a month,30,10,8,12,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
36,Female,Asian,91201,2,"With spouse, significant other, and/or children",5+,0,46,Master's or post-graduate professional degree,Daily,A few times a month,Less often,Less often,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
36,Male,Hispanic,92336,6,Living alone,1,1.4,72,Some college/associate's degree,About once a month,About once a month,About once a month,About once a month,60,40,1,10,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
36,Male,White (non-hispanic),87111,27,Living alone,1,1.2,116,Four-year college,A few times a month,A few times a month,Daily,At least once a week,1,4,1,2,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
36,Female,"White (non-hispanic),Hispanic",95660,2,"With spouse, significant other, and/or children",1,0,30,Some college/associate's degree,At least once a week,About once a month,Less often,Less often,8,2,0,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree
36,Male,White (non-hispanic),68136,2,With other family,1,0.1,34,Some college/associate's degree,Daily,A few times a month,About once a month,Less often,2,0,1,0,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
36,Male,Asian,75013,7,"With spouse, significant other, and/or children",1,0.3,203,Four-year college,Less often,A few times a month,A few times a month,About once a month,0,2,5,3,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
36,Male,White (non-hispanic),18302,11,"With spouse, significant other, and/or children",1,0.2,109,Master's or post-graduate professional degree,Daily,A few times a month,A few times a month,At least once a week,3,2,5,1,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
36,Male,White (non-hispanic),19128,5,With roommates,2,0,66,Four-year college,Daily,At least once a week,Less often,A few times a month,6,5,10,4,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
36,Female,Hispanic,85208,16,With other family,1,0,13,High school,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
36,Male,White (non-hispanic),8234,8,"With spouse, significant other, and/or children",1,0.1,121,Four-year college,At least once a week,About once a month,About once a month,A few times a month,5,10,2,2,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
36,Male,White (non-hispanic),29316,16,"With spouse, significant other, and/or children",1,0,36,Some college/associate's degree,Less often,A few times a month,About once a month,Less often,0,5,2,0,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
36,Female,White (non-hispanic),4048,6,"With spouse, significant other, and/or children",1,0,80,Four-year college,A few times a month,About once a month,Less often,Less often,0,0,0,0,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
36,Female,Black or African American,36575,9,"With spouse, significant other, and/or children",1,0,50,Some college/associate's degree,A few times a month,About once a month,Less often,Less often,0,2,0,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
36,Female,White (non-hispanic),30736,14,"With spouse, significant other, and/or children",1,0.2,74,Four-year college,About once a month,A few times a month,Less often,A few times a month,1,7,2,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
36,Male,White (non-hispanic),84102,8,With other family,5+,0.4,29,Some college/associate's degree,Less often,At least once a week,About once a month,At least once a week,0,3,0,3,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
36,Male,Black or African American,33035,1,With roommates,4,0.4,118,Four-year college,Less often,At least once a week,Less often,About once a month,0,15,20,10,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
36,Male,White (non-hispanic),27012,36,Living alone,1,0.2,64,Four-year college,At least once a week,At least once a week,At least once a week,At least once a week,5,2,4,2,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree
36,Female,Black or African American,46408,2,With other family,1,0,5,Four-year college,At least once a week,At least once a week,Less often,A few times a month,20,25,1,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
36,Female,White (non-hispanic),10022,2,Living alone,2,0.9,45,Four-year college,About once a month,A few times a month,At least once a week,Daily,0,3,5,0,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
36,Female,White (non-hispanic),73119,3,"With spouse, significant other, and/or children",1,0,18,High school,Less often,About once a month,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
35,Male,White (non-hispanic),7011,0,Living alone,4,0.8,170,Four-year college,About once a month,About once a month,About once a month,About once a month,1,2,2,1,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
35,Male,White (non-hispanic),83402,5,Living alone,1,0,115,Master's or post-graduate professional degree,Less often,At least once a week,About once a month,Less often,0,5,30,10,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
35,Female,White (non-hispanic),6484,1,"With spouse, significant other, and/or children",1,0,21,High school,Daily,At least once a week,Less often,Less often,10,6,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
35,Male,White (non-hispanic),14001,5,"With spouse, significant other, and/or children",1,0.3,181,Master's or post-graduate professional degree,At least once a week,At least once a week,At least once a week,Daily,6,10,50,10,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
35,Male,Hispanic,76513,8,With other family,5+,1,500,Some college/associate's degree,At least once a week,Daily,Less often,At least once a week,30,60,5,80,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree
35,Female,White (non-hispanic),64850,16,"With spouse, significant other, and/or children",1,0.2,56,High school,About once a month,A few times a month,About once a month,About once a month,2,3,0,1,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
35,Male,White (non-hispanic),97016,7,With other family,1,0,25,Some college/associate's degree,Less often,Less often,Less often,Less often,2,0,0,0,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
35,Female,White (non-hispanic),48122,7,"With spouse, significant other, and/or children",1,0.2,61,Some college/associate's degree,About once a month,At least once a week,Less often,About once a month,4,3,2,2,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
35,Male,White (non-hispanic),58504,35,"With spouse, significant other, and/or children",1,0.3,133,Master's or post-graduate professional degree,A few times a month,Less often,Less often,About once a month,5,5,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
35,Female,White (non-hispanic),31503,35,"With spouse, significant other, and/or children",1,0.2,21,High school,About once a month,Daily,Less often,Less often,5,2,0,4,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree
35,Male,White (non-hispanic),10005,35,"With spouse, significant other, and/or children",1,5,102,Four-year college,At least once a week,A few times a month,About once a month,At least once a week,3,5,2,10,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
35,Male,White (non-hispanic),32806,30,With roommates,1,0.3,25,Some college/associate's degree,Less often,A few times a month,Less often,Less often,1,1,2,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
35,Male,Asian,32825,5,With roommates,1,0,30,Some college/associate's degree,Less often,At least once a week,Less often,About once a month,0,3,0,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
35,Male,White (non-hispanic),43537,35,With other family,1,0.3,82,Some college/associate's degree,About once a month,At least once a week,About once a month,Daily,4,2,1,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
35,Male,Hispanic,85706,10,With roommates,1,0.3,73,Some college/associate's degree,At least once a week,About once a month,Less often,At least once a week,3,0,0,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35,Male,White (non-hispanic),53085,10,"With spouse, significant other, and/or children",1,0.2,203,Four-year college,A few times a month,A few times a month,A few times a month,Daily,4,10,15,4,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
35,Female,White (non-hispanic),28027,2,"With spouse, significant other, and/or children",1,0,83,High school,Less often,About once a month,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35,Male,"Hispanic,Black or African American",21234,0,With roommates,2,0,0,High school,Less often,Daily,Daily,Less often,0,1,1,0,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
35,Male,Hispanic,76904,1,"With spouse, significant other, and/or children",1,1,50,High school,At least once a week,At least once a week,Less often,Daily,0,0,0,10,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
35,Female,White (non-hispanic),61201,12,"With spouse, significant other, and/or children",1,0.5,78,High school,A few times a month,About once a month,Less often,Less often,9,3,0,0,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
35,Female,White (non-hispanic),52807,6,"With spouse, significant other, and/or children",1,0,84,Master's or post-graduate professional degree,About once a month,Less often,Less often,Less often,4,1,0,0,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
35,Male,Black or African American,22315,15,With other family,1,0.9,20,Some college/associate's degree,About once a month,Less often,Less often,Less often,0,2,0,1,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
35,Female,White (non-hispanic),24148,4,Living alone,1,0.2,43,Some college/associate's degree,A few times a month,Less often,Less often,Less often,4,0,0,0,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
34,Female,Hispanic,85373,6,"With spouse, significant other, and/or children",1,0.3,80,Some college/associate's degree,At least once a week,A few times a month,Less often,About once a month,6,4,1,2,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
34,Male,White (non-hispanic),10001,9,"With spouse, significant other, and/or children",3,0.3,45,Four-year college,Daily,Daily,Daily,Daily,2,4,2,5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
34,Female,White (non-hispanic),47710,6,"With spouse, significant other, and/or children",5+,0.3,12,Some college/associate's degree,About once a month,About once a month,Less often,Less often,2,2,0,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
34,Female,White (non-hispanic),27549,30,"With spouse, significant other, and/or children",1,0.4,27,Some college/associate's degree,Less often,Less often,Less often,Less often,10,2,0,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
34,Female,White (non-hispanic),60642,8,"With spouse, significant other, and/or children",3,1.2,78,Four-year college,Less often,A few times a month,Less often,At least once a week,0,50,5,15,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
34,Male,White (non-hispanic),93306,8,"With spouse, significant other, and/or children",5+,1,72,High school,About once a month,A few times a month,Less often,Daily,1,3,20,0,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
34,Female,White (non-hispanic),67211,1,With roommates,1,0.1,65,Some college/associate's degree,Daily,At least once a week,A few times a month,About once a month,10,10,10,10,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree
34,Male,White (non-hispanic),33180,10,Living alone,4,1,52,Four-year college,A few times a month,About once a month,A few times a month,At least once a week,3,4,2,2,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
34,Male,White (non-hispanic),40906,2,With other family,1,2,25,Four-year college,Less often,Less often,Less often,Less often,20,10,10,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
34,Male,White (non-hispanic),37803,1,"With spouse, significant other, and/or children",1,0,,Master's or post-graduate professional degree,Daily,Daily,Daily,Daily,1,1,1,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
34,Female,White (non-hispanic),94118,34,Living alone,1,0.2,500,Four-year college,Less often,Daily,Less often,Daily,0,2,10,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
34,Male,Hispanic,79930,15,Living alone,1,0,20,Four-year college,At least once a week,At least once a week,Less often,Less often,4,2,0,0,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree
34,Male,White (non-hispanic),19034,34,With other family,1,0.1,74,Some college/associate's degree,A few times a month,Less often,Less often,Less often,4,8,10,2,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree
34,Female,Other,10309,4,With other family,1,0,218,Some college/associate's degree,About once a month,About once a month,Less often,Less often,2,5,6,0,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
34,Male,White (non-hispanic),37912,5,"With spouse, significant other, and/or children",1,0.5,58,Four-year college,A few times a month,A few times a month,Less often,Less often,0,2,0,0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
34,Male,White (non-hispanic),15317,30,With other family,3,,101,Some college/associate's degree,About once a month,At least once a week,Less often,Less often,5,6,20,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree
34,Male,White (non-hispanic),30004,2,Living alone,5+,0,55,Four-year college,Less often,A few times a month,About once a month,A few times a month,0,2,0,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
34,Female,White (non-hispanic),68508,3,"With spouse, significant other, and/or children",2,0.3,55,Four-year college,Less often,At least once a week,Less often,Less often,0,10,0,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
34,Male,White (non-hispanic),18052,9,"With spouse, significant other, and/or children",1,0.6,102,Four-year college,A few times a month,At least once a week,Less often,A few times a month,4,2,1,2,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
34,Female,White (non-hispanic),34668,4,"With spouse, significant other, and/or children",1,0.5,56,Some high school or less,About once a month,Less often,Less often,Less often,1,0,0,0,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree
